City,Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,P(inventory) for homes built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Alameda,0.6500494796702132,0.509581881533101,0.6970400464306442,0.4870940882597835,0.14285714285714285,0.2727272727272727,0.2777777777777778,1 / 7,3 / 11,5 / 18
Albany,0.5416666666666666,0.9411764705882353,0.7701492537313432,0.6821705426356589,0.0,0.0,0.04878048780487805,0 / 17,0 / 8,2 / 41
American Canyon,,,0.9770408163265306,0.0,0.0,0.0,0.0,0 / 5,0 / 25,0 / 30
Antioch,,,0.4986187845303867,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9
Atherton,0.8333333333333334,0.75,1.1827956989247312,0.02727272727272727,0.027777777777777776,,0.041666666666666664,2 / 72,0 / 0,3 / 72
Belmont,1.085680751173709,1.032967032967033,0.3525641025641026,0.7636363636363637,0.0,0.18867924528301888,0.11504424778761062,0 / 11,10 / 53,13 / 113
Belvedere,1.0,1.0,0.25,0.25,,0.058823529411764705,0.058823529411764705,0 / 0,1 / 17,1 / 17
Benicia,0.9145062766779585,0.8613938919342209,0.0764525993883792,0.44,,0.061224489795918366,0.06060606060606061,0 / 0,6 / 98,6 / 99
Berkeley,1.2162792064780268,0.6732182929660294,0.6323082122338628,0.046499198289684664,0.017964071856287425,0.02531645569620253,0.022277227722772276,3 / 167,6 / 237,9 / 404
Brentwood,1.6654525162337661,1.2153846153846153,3.5776315789473685,0.10592129459360058,0.04,0.07878787878787878,0.07368421052631578,1 / 25,13 / 165,14 / 190
Brisbane,1.3921052631578947,0.9354838709677419,0.9518072289156626,0.3670886075949367,0.029508196721311476,0.06140350877192982,0.045346062052505964,9 / 305,7 / 114,19 / 419
Burlingame,4.027466555183947,2.824324324324324,0.578215527230591,0.8476953907815631,0.05405405405405406,,0.06578947368421052,4 / 74,0 / 0,5 / 76
Calistoga,2.727272727272727,2.727272727272727,5.111111111111111,0.2318840579710145,0.0,0.06666666666666667,0.09375,0 / 2,1 / 15,3 / 32
Campbell,3.047942927170868,2.108695652173913,0.5155412647374062,0.604989604989605,0.10091743119266056,0.16666666666666666,0.11023622047244094,11 / 109,2 / 12,14 / 127
Clayton,0.34469696969696967,0.1,0.07092198581560284,0.5,0.18181818181818182,0.0,0.08695652173913043,2 / 11,0 / 8,2 / 23
Cloverdale,1.1471014492753624,0.9090909090909091,0.5402843601895735,0.3508771929824561,0.09090909090909091,0.2413793103448276,0.12903225806451613,1 / 11,7 / 29,8 / 62
Colma,2.5384615384615383,2.5384615384615383,1.271186440677966,0.88,,,1.0,0 / 0,0 / 0,1 / 1
Concord,0.6577777777777778,0.5675675675675675,0.06900517538815411,0.14583333333333334,0.020833333333333332,0.16666666666666666,0.07859078590785908,2 / 96,13 / 78,29 / 369
Corte Madera,1.0,1.0,0.4861111111111111,0.5142857142857142,0.0,0.3,0.2727272727272727,0 / 1,3 / 10,3 / 11
Cotati,,,0.6131386861313869,0.5119047619047619,0.0,0.0,0.4117647058823529,0 / 7,0 / 31,35 / 85
Cupertino,1.7272727272727273,1.7272727272727273,0.2556390977443609,0.06985294117647059,,,0.03571428571428571,0 / 0,0 / 0,1 / 28
Daly City,4.12,4.12,0.5407407407407407,0.3684931506849315,0.0,0.16666666666666666,0.1590909090909091,0 / 7,1 / 6,7 / 44
Danville,1.1021913190054784,2.048780487804878,1.0161579892280073,0.6943462897526502,0.2,0.0,0.13095238095238096,5 / 25,0 / 12,11 / 84
Dixon,0.4088363992145724,0.34146341463414637,1.0558375634517767,0.46153846153846156,0.0,0.36363636363636365,0.2631578947368421,0 / 2,4 / 11,5 / 19
